open_time,ticket,symbol,type,open_price,profit,stop_loss,take_profit,close_time,close_price,commission,swap,profit_total
2025.05.26 16:27:38,884102345,XAUUSD,sell,0.1,3.340.556,3.341.668,3.338.668,2025.05.26 16:38:51,3.341.668,0.00,0.00,-181 093.16
2025.05.26 16:28:38,884108029,XAUUSD,sell,0.1,3.340.411,3.341.523,3.338.523,2025.05.26 16:38:37,3.341.523,0.00,0.00,-181 093.16
2025.05.26 16:29:39,884114651,XAUUSD,sell,0.1,3.340.797,3.340.237,3.338.909,2025.05.26 16:36:34,3.340.237,0.00,0.00,90 923.60
2025.05.26 16:30:39,884119978,XAUUSD,sell,0.1,3.340.922,3.340.237,3.339.035,2025.05.26 16:36:34,3.340.237,0.00,0.00,111 219.04
2025.05.26 16:31:39,884125338,XAUUSD,sell,0.1,3.340.609,3.341.721,3.338.721,2025.05.26 16:38:51,3.341.721,0.00,0.00,-181 093.16
2025.05.26 16:32:40,884132614,XAUUSD,sell,0.1,3.341.102,3.340.237,3.339.214,2025.05.26 16:36:34,3.340.237,0.00,0.00,140 444.48
2025.05.26 16:33:40,884138097,XAUUSD,sell,0.1,3.340.892,3.340.284,3.339.004,2025.05.26 16:36:34,3.340.284,0.00,0.00,98 717.05
2025.05.26 16:34:41,884141796,XAUUSD,sell,0.1,3.340.790,3.340.284,3.338.902,2025.05.26 16:36:34,3.340.284,0.00,0.00,82 155.96
2025.05.26 16:35:41,884147103,XAUUSD,sell,0.1,3.340.596,3.341.708,3.338.708,2025.05.26 16:38:51,3.341.708,0.00,0.00,-181 093.16
2025.05.26 16:36:42,884154234,XAUUSD,sell,0.1,3.340.171,3.341.283,3.338.283,2025.05.26 16:37:43,3.341.283,0.00,0.00,-181 093.16
2025.05.26 16:37:42,884159516,XAUUSD,sell,0.1,3.340.754,3.341.866,3.338.866,2025.05.26 16:40:36,3.341.866,0.00,0.00,-181 093.16
2025.05.26 16:38:42,884166910,XAUUSD,sell,0.1,3.341.519,3.342.631,3.339.631,2025.05.26 16:41:17,3.342.685,0.00,0.00,-189 887.26
2025.05.26 16:39:43,884173521,XAUUSD,sell,0.1,3.341.549,3.342.661,3.339.661,2025.05.26 16:41:17,3.342.685,0.00,0.00,-185 001.65
2025.05.26 16:40:43,884181831,XAUUSD,sell,0.1,3.341.900,3.342.881,3.339.881,2025.05.26 16:42:08,3.343.150,0.00,0.00,-203 554.87
2025.05.26 16:41:44,884190786,XAUUSD,sell,0.1,3.342.346,3.343.458,3.340.458,2025.05.26 16:42:12,3.343.458,0.00,0.00,-181 082.41
2025.05.26 16:42:44,884200904,XAUUSD,sell,0.1,3.342.894,3.342.293,3.341.006,2025.05.26 16:52:07,3.342.293,0.00,0.00,97 574.69
2025.05.26 16:43:45,884207881,XAUUSD,sell,0.1,3.342.950,3.342.231,3.341.062,2025.05.26 16:52:07,3.342.231,0.00,0.00,116 732.45
2025.05.26 16:44:45,884212591,XAUUSD,sell,0.1,3.342.755,3.342.231,3.340.867,2025.05.26 16:52:07,3.342.231,0.00,0.00,85 073.44
2025.05.26 16:45:46,884216817,XAUUSD,sell,0.1,3.342.626,3.341.442,3.340.738,2025.05.26 17:02:37,3.341.442,0.00,0.00,192 205.67
2025.05.26 16:46:46,884221256,XAUUSD,sell,0.1,3.342.419,3.341.442,3.340.531,2025.05.26 17:02:37,3.341.442,0.00,0.00,158 602.15
2025.05.26 16:47:47,884226866,XAUUSD,sell,0.1,3.342.864,3.342.231,3.340.975,2025.05.26 16:52:07,3.342.231,0.00,0.00,102 770.01
2025.05.26 16:48:47,884231015,XAUUSD,sell,0.1,3.342.835,3.342.231,3.340.947,2025.05.26 16:52:07,3.342.231,0.00,0.00,98 061.75
2025.05.26 16:49:48,884235184,XAUUSD,sell,0.1,3.342.452,3.341.359,3.340.564,2025.05.26 17:02:36,3.341.359,0.00,0.00,177 433.11
2025.05.26 16:50:48,884240742,XAUUSD,sell,0.1,3.342.381,3.341.359,3.340.493,2025.05.26 17:02:36,3.341.359,0.00,0.00,165 907.26
2025.05.26 16:51:49,884245281,XAUUSD,sell,0.1,3.341.925,3.341.359,3.340.037,2025.05.26 17:02:36,3.341.359,0.00,0.00,91 882.10
2025.05.26 16:52:49,884250453,XAUUSD,sell,0.1,3.342.151,3.341.359,3.340.266,2025.05.26 17:02:36,3.341.359,0.00,0.00,128 570.01
